Event ID,Title,Date,Start,End,Location,Description,Source,Last Synced,,Push
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
,,,,,,,,,,FALSE
nfv81lct5e7g8ogcu62c9m9m6c@google.com,A Funny Thing Happened on the Way to the Forum,2/10/2026 0:00:00,2/10/2026 18:00:00,2/10/2026 19:00:00,Main Stage,Tech Week | A Funny Thing Happened on the Way to the Forum,Calls,1/2/2026 19:46:17,Synced,FALSE
